"","X","Column1","study","year","active_type","control_type","psy_or_med","descr_active","descr_control","instrument","instrument_name","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","responders_active_30","responders_control_30","responders_active_35","responders_control_35","...49","percent_women","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental.","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","comorbid_mental?","cohens_d_active","cohens_d_control","study_ID","cip_change_actv","cip_change_sd_actv","cip_change_n_actv","ae_dropouts_actv","ae_dropouts_n_actv","cip_responders_actv","cip_responders_n_actv","cip_responders_n_missing_actv","all_cause_dropouts_actv","all_cause_dropouts_n_actv","suicides_actv","suicide_n_actv","cip_change_ctrl","cip_change_sd_ctrl","cip_change_n_ctrl","ae_dropouts_ctrl","ae_dropouts_n_ctrl","cip_responders_ctrl","cip_responders_n_ctrl","cip_responders_n_missing_ctrl","all_cause_dropouts_ctrl","all_cause_dropouts_n_ctrl","suicides_ctrl","suicide_n_ctrl","change_active","change_control","scale_min","scale_max","perc_baseline_mean_active","perc_baseline_sd_active","perc_baseline_mean_control","perc_baseline_sd_control","perc_post_mean_active","perc_post_sd_active","perc_post_mean_control","perc_post_sd_control","baseline_st_error_active","baseline_st_error_control","new_study_id"
"109",NA,115,"Topooco, 2018","2018","cbt","other ctr",1,"cbt","attention control","bdi-ii","bdi",4,"self-report",33.1,9.4,33,32.3,10.2,37,19.9,7.2,33,25.2,7.8,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,0.333333333333333,0.0540540540540541,0.333333333333333,0.0540540540540541,NA,NA,NA,NA,108,94,17,6,NA,"n",NA,"eu",NA,17.2,1,16.9,1.1,NA,NA,NA,NA,"cut",NA,NA,NA,-1.59036144578313,-0.788888888888889,"Topooco, 2018_cbt_attention control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.2,-7.1,0,63,0.525396825396825,0.149206349206349,0.512698412698413,0.161904761904762,0.315873015873016,0.114285714285714,0.4,0.123809523809524,1.63632996598356,1.67686967051464,"Topooco, 2018"
"110",NA,117,"Topooco, 2019","2019","cbt","other ctr",1,"icbt","minimal attention controlÂ ","bdi","bdi",4,"self-report",31.6,10,35,28.8,7.9,35,16,11.3,31,24.8,10.4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,0.342857142857143,0.114285714285714,0.387096774193548,0.114285714285714,NA,NA,NA,NA,110,96,NA,NA,NA,"n",NA,"eu",NA,17.5,1.1,17.5,1.2,NA,NA,NA,NA,"cut",NA,NA,NA,-1.46478873239437,-0.437158469945355,"Topooco, 2019_icbt_minimal attention controlÂ ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.6,-4,0,63,0.501587301587302,0.158730158730159,0.457142857142857,0.125396825396825,0.253968253968254,0.179365079365079,0.393650793650794,0.165079365079365,1.69030850945703,1.33534372247106,"Topooco, 2019"
"111",63,63,"Von Knorring","2006","Citalopram","Placebo",0,"Citalopram","Placebo","MADRS","madrs",3,"clinician",30,5.5,124,30,5.5,120,17.91,5.5,79,18.09,5.5,74,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",NA,NA,0.61,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"n",NA,"European, multi-centered (31 recruitment sites)","13 to 18",16,1,16,1,16,1,NA,NA,"mdd","31",NA,NA,-2.19818181818182,-2.16545454545455,"Von Knorring_2006_Citalopram_Placebo",-12.09,16.36,96,14,124,48,121,3,45,124,9,124,-11.91,15.93,91,9,120,44,112,8,46,120,5,120,NA,NA,0,60,0.5,0.0916666666666667,0.5,0.0916666666666667,0.2985,0.0916666666666667,0.3015,0.0916666666666667,0.493914580573631,0.502079011046402,"Von Knorring, 2006"
"112",NA,118,"Vostanis, 1996","1996","cbt","other ctr",1,"cbt","non-focused intervention","mfq","mfq",7,"self-report",33.4,12.2,29,28.6,14.4,28,17.6,5.2,29,18.4,15.8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,0.517241379310345,0.428571428571429,0.517241379310345,0.428571428571429,NA,NA,NA,NA,111,56,NA,NA,NA,"n",NA,"uk",NA,NA,NA,NA,NA,12.7,NA,NA,NA,"mdd",NA,NA,NA,-1.81609195402299,-0.675496688741722,"Vostanis, 1996_cbt_non-focused intervention",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.8,-10.2,0,66,0.506060606060606,0.184848484848485,0.433333333333333,0.218181818181818,0.266666666666667,0.0787878787878788,0.278787878787879,0.239393939393939,2.26548312576003,2.72134420566644,"Vostanis, 1996"
"113",NA,119,"Vostanis, 1996","1996","cbt","other ctr",1,"cbt","non-focused intervention","mfq","mfq",7,"parent_report",30,12,29,32.5,15.1,28,13.4,9.2,29,19.4,13.7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,0.517241379310345,0.392857142857143,0.517241379310345,0.392857142857143,NA,NA,NA,NA,112,56,13,11,NA,"n",NA,"uk",NA,NA,NA,NA,NA,12.7,NA,NA,NA,"mdd",NA,NA,NA,-1.56603773584906,-0.909722222222222,"Vostanis, 1996_cbt_non-focused intervention",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.6,-13.1,0,66,0.454545454545455,0.181818181818182,0.492424242424242,0.228787878787879,0.203030303030303,0.139393939393939,0.293939393939394,0.207575757575758,2.22834405812462,2.85363177121967,"Vostanis, 1996"
"114",64,64,"Wagner","2003","Sertraline","Placebo",0,"Sertraline","Placebo","CDRS","cdrs",1,"clinician",64.3,11,189,64.6,11,187,41.46,11,185,44.41,11,179,-22.84,NA,NA,-20.19,NA,NA,"40% improvement",128,185,0.691891891891892,106,179,0.592178770949721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"y","Most common were oppositional defiant disorder, anxiety, adjustment reaction and phobic disorders.","International (USA, India, Canada, Costa Rica, Mexico)","6 to 17",NA,NA,NA,NA,NA,NA,57.1,44.9,"mdd","53",NA,NA,-2.07636363636364,-1.83545454545455,"Wagner_2003_Sertraline_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.492708333333333,0.114583333333333,0.495833333333333,0.114583333333333,0.254791666666667,0.114583333333333,0.285520833333333,0.114583333333333,0.800132264198639,0.804399666539844,"Wagner, 2003"
"115",66,66,"Wagner","2004","Citalopram","Placebo",0,"Citalopram","Placebo","CDRS","cdrs",1,"clinician",58.8,10.9,89,57.8,11.1,85,37.1,10.9,89,41.3,11.1,85,NA,NA,NA,NA,NA,NA,"CDRS score ≤28",32,89,0.359550561797753,20,85,0.235294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","Dysthmia, enuresis","USA","7 to 17",12.1,3.1,12.1,2.8,12.1,NA,52.8,54.1,"mdd","21",NA,NA,-1.99082568807339,-1.48648648648649,"Wagner_2004_Citalopram_Placebo",-21.7,15.09,89,5,93,42,89,NA,22,93,1,93,-16.5,14.75,85,5,85,38,85,NA,18,85,2,85,NA,NA,17,113,0.435416666666667,0.113541666666667,0.425,0.115625,0.209375,0.113541666666667,0.253125,0.115625,1.15539768920693,1.20396404089354,"Wagner, 2004"
"116",68,68,"Wagner","2006","Escitalopram","Placebo",0,"Escitalopram","Placebo","CDRS","cdrs",1,"clinician",54.5,9.32875,131,56.6,9.29964285714286,133,32.6,10.8323214285714,NA,36.4,10.8732142857143,NA,-21.9,NA,129,-20.2,NA,132,"CDRS score ≤28",59,129,0.457364341085271,50,132,0.378787878787879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","Anxiety disorders (e.g. GAD, panic disorder, social phobia, specific phobia)","USA","6 to 17",12.2,2.9,12.4,3,12.3,3,51.9,51.9,"mdd","25",NA,NA,-2.1725035871818,-2.00269102754762,"Wagner_2006_Escitalopram_Placebo",-21.9,13.5,129,2,132,81,129,NA,30,132,1,132,-20.2,13.5,132,2,136,69,132,NA,21,136,0,136,NA,NA,17,113,0.390625,0.0971744791666667,0.4125,0.0968712797619048,0.1625,0.112836681547619,0.202083333333333,0.113262648809524,0.815056671857666,0.806381303444235,"Wagner, 2006"
"117",92,92,"Weihs","2018","Desvenlafaxine","Placebo",0,"Desvenlafaxine","Placebo","CDRS","cdrs",1,"clinician",56.337,9.585,115,57.06,8.91,112,33.737,9.585,NA,33.96,8.91,NA,-22.6,12.547,115,-23.1,12.488,112,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","ADHD, non-suicidal inurious behaviour, insomnia, generalised anxiety disorder, oppositional defiant disorder","USA, Mexico","7 to 17",12.869,1.46,12.65,1.425,NA,NA,55.139,57.5,"mdd","43",NA,NA,-2.35785080855503,-2.59259259259259,"Weihs_2018_Desvenlafaxine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.409760416666667,0.09984375,0.417291666666667,0.0928125,0.17434375,0.09984375,0.176666666666667,0.0928125,0.893805858698341,0.841915863628054,"Weihs, 2018"
"118",94,94,"Weihs","2018","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",56.256,8.34,112,57.06,8.91,112,31.456,8.34,NA,33.96,8.91,NA,-24.8,12.382,112,-23.1,12.488,112,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","ADHD, non-suicidal inurious behaviour, insomnia, generalised anxiety disorder, oppositional defiant disorder","USA, Mexico","7 to 17",12.65,1.479,12.65,1.425,NA,NA,50.74,57.5,"mdd","43",NA,NA,-2.97362110311751,-2.59259259259259,"Weihs_2018_Fluoxetine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.408916666666667,0.086875,0.417291666666667,0.0928125,0.150583333333333,0.086875,0.176666666666667,0.0928125,0.788055926224239,0.841915863628054,"Weihs, 2018"
"119",NA,120,"Weisz, 1997","1997","cbt","cau",1,"cbt","nt","cdrs-r","cdrs",1,"clinician",45.25,16.01,16,38.38,11.15,32,33.19,10.86,16,34.94,10.93,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.0625,0.09375,0.0625,0.09375,NA,NA,NA,NA,113,46,3,2,NA,"n",NA,"us",NA,9.4,NA,9.7,NA,9.6,NA,NA,NA,"cut",NA,NA,NA,-0.897655377744697,-0.311594202898551,"Weisz, 1997_cbt_nt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.06,-3.44,17,113,0.294270833333333,0.166770833333333,0.222708333333333,0.116145833333333,0.168645833333333,0.113125,0.186875,0.113854166666667,4.0025,1.9710601525575,"Weisz, 1997"
"120",NA,122,"Weisz, 2009","2009","cbt","cau",1,"cbt","cau","cdi","cdi",5,"self-report",10.88,7.91,32,11.29,7.93,25,8,6.32,25,8.47,8.44,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,0.375,0.4,0.48,0.526315789473684,NA,NA,NA,NA,115,56,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,11.77,2.14,NA,NA,"mood",NA,NA,NA,-0.404778636683064,-0.344532681734881,"Weisz, 2009_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88,-2.82,0,54,0.201481481481481,0.146481481481481,0.209074074074074,0.146851851851852,0.148148148148148,0.117037037037037,0.156851851851852,0.156296296296296,1.3983036597964,1.586,"Weisz, 2009"
"121",NA,124,"Wood, 1996","1996","cbt","other ctr",1,"cbt","relaxing training","mfq","mfq",7,"parent_report",25.8,9.8,24,28.7,11.6,24,14.9,10.4,24,19.8,13.3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,0.708333333333333,0.625,0.708333333333333,0.625,NA,NA,NA,NA,117,69,NA,NA,NA,"n",NA,"uk",NA,13.8,1.7,14.6,1.6,NA,NA,NA,NA,"mood",NA,NA,NA,-1.07920792079208,-0.714859437751004,"Wood, 1996_cbt_relaxing training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.9,-8.9,0,66,0.390909090909091,0.148484848484848,0.434848484848485,0.175757575757576,0.225757575757576,0.157575757575758,0.3,0.201515151515152,2.00041662327293,2.36784008469041,"Wood, 1996"
"122",NA,125,"Young, 2006","2005","ipt","other ctr",1,"ipt","school counseling","ces-d","ces_d",11,"self-report",24.1,6.9,27,27.4,6.6,14,6.4,4.8,27,17.4,10.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,7,0.888888888888889,0.5,0.888888888888889,0.5,NA,NA,NA,NA,118,85,24,5,NA,"n",NA,"us",NA,13.5,1.3,13.1,1.1,13.4,1.2,NA,NA,"cut",NA,NA,NA,-3.02564102564103,-1.16959064327485,"Young, 2006_ipt_school counseling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.7,-10,0,60,0.401666666666667,0.115,0.456666666666667,0.11,0.106666666666667,0.08,0.29,0.175,1.32790561913614,1.763924196622,"Young, 2006"
"123",NA,127,"Young, 2010","2010","ipt","cau",1,"Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)","school counseling","cdrs-r","cdrs",1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,59,NA,NA,NA,"n",NA,"us",NA,14.57,0.68,14.52,0.87,14.51,0.76,NA,NA,"cut",NA,NA,NA,NA,NA,"Young, 2010_Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)_school counseling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Young, 2010"
"124",NA,128,"Young, 2016","2016","ipt","other ctr",1,"Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)","group counselling","ces-d","ces_d",11,"self-report",15.51,8.52,95,15.07,8.65,91,11.12,8.57,93,12.62,9.28,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,0.305263157894737,0.318681318681319,0.311827956989247,0.322222222222222,NA,NA,NA,NA,121,67,38,27,NA,"n",NA,"us",NA,13.56,1.28,13.42,1.18,14.01,1.22,NA,NA,"cut",NA,NA,NA,-0.513750731421884,-0.273284997211378,"Young, 2016_Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)_group counselling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.39,-2.45,0,60,0.2585,0.142,0.251166666666667,0.144166666666667,0.185333333333333,0.142833333333333,0.210333333333333,0.154666666666667,0.874133555976551,0.906766383764459,"Young, 2016"
"125",NA,129,"Yu, 2002","2002","cbt","cau",1,"cbt","nt","cdi","cdi",5,"self-report",17.44,9.47,104,16.72,9.29,116,13.64,9.01,101,16.02,10.16,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,34,0.288461538461538,0.293103448275862,0.297029702970297,0.298245614035088,NA,NA,NA,NA,122,45,30,26,NA,"n",NA,"eas",NA,11.71,1.71,11.99,1.67,11.8,1.69,NA,NA,"cut",NA,NA,NA,-0.411255411255411,-0.0719794344473007,"Yu, 2002_cbt_nt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.8,-0.699999999999999,0,54,0.322962962962963,0.17537037037037,0.30962962962963,0.172037037037037,0.252592592592593,0.166851851851852,0.296666666666667,0.188148148148148,0.928609899879302,0.862554845832406,"Yu, 2002"
